product_id,product_name,sales,comment_id,comment_time,content,sku,sku_id,display_user_nick,reply,create_time,update_time
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1188656714085,2022-09-28,本子有点小，但是挺精致的,,,a**y,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1188625995404,2022-09-24,当礼物蛮好,,,t**2,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1187695442204,2022-09-18,东西不错，还有优惠，可以放心省钱购买，不要犹豫了,,,烟**贾,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1186404485670,2022-09-08,太贵了,,,h**g,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1186133997358,2022-09-05,挺好，精致小巧，教师节送给老师很合适，价格略高。,,,s**7,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1185680400463,2022-09-04,冲着故宫买的，实物不咋的，价格贵了,,,雯**6,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1185807217192,2022-09-01,很好看,,,t**0,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1185370172888,2022-08-31,看着挺好的，教师节礼物。,,,a**4,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1185330552097,2022-08-31,可可爱爱~♥♥,,,t**5,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1185638590927,2022-08-26,一般,,,风**3,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1184770265801,2022-08-20,价格偏贵了。,,,苏**漠,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1178258872858,2022-06-19,送人的,,,陌**i,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1178739527295,2022-06-13,好,,,w**5,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1178637675619,2022-06-12,很好看，送朋友的，她也很喜欢。,,,h**l,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1178222210537,2022-06-12,好漂亮的本子，不错,,,淡**空,,2023-11-03 14:59:16,2023-11-03 14:59:16
550901982416,故宫小确幸笔记本日记本礼品本子生日礼物礼品伴手礼,10万+,1177758037031,2022-06-11,质量很好，特别精致的笔记本,,,海**业,,2023-11-03 14:59:16,2023-11-03 14:59:16
